Nama_Hotel,Rating,Image,Latitude,Longitude
Hotel,"4,2",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=lbPiTx8gxIyfT8X5Dy8WLQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=111.05763&pitch=0&thumbfov=100,-7.9713856,112.6689389
Kusuma Agrowisata Resort & Convention Hotel,"3,8",https://lh5.googleusercontent.com/p/AF1QipPN5oNcwwDrjIh0L7-Ic56bSxtYezLeSA6bFqY=w80-h119-k-no,-7.883519,112.5147005
OYO 353 Loesje Guest House Syariah,"5,0",https://lh5.googleusercontent.com/p/AF1QipN-BQtuRoNwnPRxZybc81Nyq00-aBsjteQJ_hYT=w137-h92-k-no,-7.977183,112.624936
RedDoorz Hostel near Malang Train Station 3,"4,6",https://lh5.googleusercontent.com/p/AF1QipNnUlzswtN9gTFbM2woisknC3ExcQjpxsvYf4KV=w138-h92-k-no,-7.9763069,112.6299665
Guest House Syariah,"5,0",https://lh5.googleusercontent.com/p/AF1QipMp1CVKun4pVqA2af8ZbeYSYAvnG-btnhJBBqnt=w163-h92-k-no,-7.8923018,112.5497805
OYO 93040 Calatheya Homestay Syariah,"5,0",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=JtuT8mxTabI9gxB2TjpPyQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=123.99922&pitch=0&thumbfov=100,-7.9283208,112.607144
Hotel,"4,3",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=n8pM8YEbvWgYQMlPUo6SFw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=163.03423&pitch=0&thumbfov=100,-7.9512437,112.6136425
Ancala Inn Bromo,"3,0",https://lh5.googleusercontent.com/p/AF1QipMLexi1XV6WIUs8qL9nHolTkx903R8aT4Z9pywn=w122-h92-k-no,-7.8872403,112.9022555
OYO 1979 Alif Family Residence,"4,3",https://lh5.googleusercontent.com/p/AF1QipOTyhOm6a2WK-5YNWvq-L6SR_qVc6nJcgWxVv6b=w137-h92-k-no,-7.96795,112.664316
Hotel Nasional,"4,4",https://lh5.googleusercontent.com/p/AF1QipPVeuF8bOxBHpNM-00JsMduLztDSL-FC5aXZucn=w122-h92-k-no,-7.6613221,112.9007124
Penginapan 100,"4,1",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-VFwQWpAZObfr-5FFcuFOA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=317.5494&pitch=0&thumbfov=100,-7.8943777,112.5301334
"Bobopod Alun-Alun, Malang","4,5",https://lh5.googleusercontent.com/p/AF1QipOO_odkUtE25AV-Wjp5Eap-yvxxsvR3B8hk9KEM=w80-h106-k-no,-7.9835318,112.6301217
OYO 90749 Ameswari Homestay Syariah,"4,8",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=VEdxeSnG_-cpY9XD5yVwXQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=49.57863&pitch=0&thumbfov=100,-7.9044346,112.5364893
Malqie Guest House Syariah,"4,2",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=jnkSXBcmUF1Jb0if8KDR7g&cb_client=search.gws-prod.gps&w=80&h=92&yaw=49.402958&pitch=0&thumbfov=100,-7.9723246,112.6106358
Ane Penginapan,"4,7",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=JTMuBzmxePM1Tz7aEbvTIQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=224.23941&pitch=0&thumbfov=100,-7.9579148,112.6090942
Guest House Shafira,"4,0",https://lh5.googleusercontent.com/p/AF1QipNrVzZ_xoNxCPx9wJARWvLNR-oV7HuoYWf6nAU=w122-h92-k-no,-8.0008849,112.6188924
Hotel Di Malang,"3,6",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=la_EVN8ll04Sfxq4hfFV3g&cb_client=search.gws-prod.gps&w=80&h=92&yaw=314.29315&pitch=0&thumbfov=100,-7.9679523,112.6288902
Hotel Discovery,"4,0",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-rP0kMGNo0aPFZZgqWOuOg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=189.17473&pitch=0&thumbfov=100,-7.88272,112.53342
Losmen Ngapunten,"4,6",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2rHk6Eat2oZ3GexOWS27Sg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=346.22263&pitch=0&thumbfov=100,-7.9367194,112.6377917
Hotel Gajahmada Graha,"4,5",https://lh3.googleusercontent.com/gps-proxy/AMy85WJJZiyem5FwwrGHlwM0gVu6bEJ7cyLCyaM99U8bFYYzBT2OGcfIBK3TitedSVZu_xuI-maNBDpz_IDrMBh6O3NJI3-7QYxdiM9yVmBNoKI4-qcGIDqn7W9CpnpeDO-PXvz08oI4wKmLT1kpaAKj5z-EntDlJhsMlLAOUd9IsbmhD3xihIJTkZXT=w146-h92-k-no,-7.9687027,112.6358411
Hotel Batu Yang Pernah Dikunjungi,"2,0",https://lh5.googleusercontent.com/p/AF1QipOaB_pccD9FDvjFWiVqWNNt12Afa5E1fBH-gN9j=w80-h106-k-no,-7.8830648,112.5334492
Grand Whiz Hotel Trawas Mojokerto,"4,3",https://lh5.googleusercontent.com/p/AF1QipN_-iVj5KB8a-dG_A4a0XTVdVVOL-ht0mJIweoJ=w163-h92-k-no,-7.6632165,112.6180135
Hotel New Coklat,"4,1",https://lh3.googleusercontent.com/gps-proxy/AMy85WJvuI0nNzBc7e5KwOMw2tO7HJIv-J97Zgf5feqi3Msx4sBr4abBsWyY1AZ5ZBNt_UzB-I0ZKifrOG3RWAp8s7Bceo9jGaIdzIOsKqkDyXhH9rIgQPEsJ_BjrCDspSeF6l0vCH-MBMsFwYm8qIHz8Q_4SagroWj4sPsdg9CGhbGlYv3SvYF4QMVt=w122-h92-k-no,-7.2638201,112.7515385
Hotel Dalwa Syariah,"4,1",https://lh5.googleusercontent.com/p/AF1QipPKIV4oSzVGxFog-CmTFrhSVk7xrbpSQNgYXuLL=w137-h92-k-no,-7.6053403,112.8252161
Asri Home Stay,"4,1",https://lh5.googleusercontent.com/p/AF1QipPm7Mxfa7A3O8M8nIGbSjUYUH3NKEqhXiNKnR87=w122-h92-k-no,-7.9587761,112.6431511
Home Stay Pulosari Living,"4,4",https://lh5.googleusercontent.com/p/AF1QipPVj498xoamHjyIUrA8ztR-ehFVvgPcbrhhzYnf=w122-h92-k-no,-7.9739223,112.6168839
Adisa Homestay,"4,3",https://lh5.googleusercontent.com/p/AF1QipNaZUVkrDUCVnsU5nDqoiiIEVUgHB3yZozRcyUi=w122-h92-k-no,-7.9656722,112.6319221
Hotel Prima Asri 153,"3,7",https://lh5.googleusercontent.com/p/AF1QipOAHr5V0qQsyoV6WbG6XNC_r4VgVWADyffTMouK=w122-h92-k-no,-7.8811912,112.5242965
Hotel Sri Rejeki,"4,5",https://lh5.googleusercontent.com/p/AF1QipN_3PUGHySvr3GE0Ai8aQI9mY1m7PGAwM4nRzgd=w122-h92-k-no,-8.1008796,112.1712944
Global Inn Syariah,"5,0",https://lh5.googleusercontent.com/p/AF1QipMzJeQJuDsoEsYh7BZyRYrpGUBWBntKwT8Di45r=w153-h92-k-no,-7.3661788,112.7759408
Panorama İnn Residence,"4,6",https://lh3.googleusercontent.com/gps-proxy/AMy85WJjAU2YQMA9BMRV3FnFmW7vWhZnzSxxGii3LqwY_aanerDRZBoALc4pgT_kb8RHyKOz-S0-4BECMzCFUQPqoODzIaWnRb_rUCnzHy1Ag73ORjpp4j7p2dcsY2VA6DAjGYz-fSpr8ELlnQaVqJEiMjd-JsmL6iziz1FyomSCFhTuOQ09KVYyE7zjKg=w138-h92-k-no,-7.8659717,112.5145741
Best Western Papilio Hotel,"4,3",https://lh3.googleusercontent.com/gps-proxy/AMy85WLCVOuBCC68-E-uA6UWFB7kjkncrWYY122mq2fxrphZ9qPfE8VMH6RfLUa7iSbWqQ-caF7sMIUofCtJ-iPRWjQpHyOBED1YYIAHbn88njwOCRUDMQFvTzbg28U9Xi7V1d3Xe1sD8goq1s_t3CSI1HgV-eoib6ySOTRwJy1PCfrFkv8gp_awls4=w136-h92-k-no,-7.3311302,112.729877
Hotel Nginap Di Malang,"3,1",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=C8mBOW8IlM-OdpFOO5pqTg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=330.09073&pitch=0&thumbfov=100,-7.937303,112.637557
Hotel agogo,"4,5",https://lh5.googleusercontent.com/p/AF1QipNT5Ebz1BKq_3pn-LP5_lRe4-aCQH8AF-5d5PSQ=w80-h92-k-no,-7.260881,112.7510651
Hotel Grand City Batu,"5,0",https://lh3.googleusercontent.com/gps-proxy/AMy85WIgVTSKwXMQ6O6RHsHjYYizYMYxnbBrj2aMc9TThWmUk86218Se1fxaXq-dBNW8KThpwsHvFT39K3NMycZ0lZW7QbWadsPp8C-KSz0dNE7DwJ0DmCR5hkVUUr9WD3wBF9Etl5AigjivbkmPFfbDdSWsKAU2Ud00RmRAuKP0gEuJNOY6j3RJ7X4I2Wt5Uu5xKv_Yw2k=w122-h92-k-no,-7.849302,112.528142
SM Bromo Hotel Probolinggo,"3,8",https://lh3.googleusercontent.com/gps-proxy/AMy85WJi5lZAxZanCKH7d4iTdBIPQn7BDF3Tn2kqcF9jNWMl3u4D-lprjg5T7TxXVK7-Rpe13iOUx5KYsZQISG97LsprMcJ4ITcMIoDDQQ1AcDNQ1qCmdN-00Z-Gs2Fc5gSvJUS8cNbpog02GeqGfAFB0gvM6a2klqkhdUNm4O_kTo5Szrs_XrxMXviq=w138-h92-k-no,-7.9200528,112.9979085
Hotel Nadia,"4,4",https://lh5.googleusercontent.com/p/AF1QipOjsXNT5R43gXVXC-kI2eh-YiTwZMhDK-X2Dzsu=w123-h92-k-no,-7.9012404,113.0429519
Ibis Budget Surabaya Diponegoro,"4,6",https://lh5.googleusercontent.com/p/AF1QipO_K2bVPEU0k01ZHXVWoiyTTUBlLYc_MzdqW4oN=w146-h92-k-no,-7.2817295,112.731539
Damar Boutique Hotel,"4,6",https://lh5.googleusercontent.com/p/AF1QipMo_wjJUHF8JkrMW8I0XYYzeqU8-G9Zm3qHDdlj=w162-h92-k-no,-7.9526915,112.6361312
Hotel Mandiri,"4,2",https://lh3.googleusercontent.com/gps-proxy/AMy85WKv77UaugC425BLJxew6OzKovOwyYcwSQHKE7TC8M2kbo7MiJfljr_d7hIY-I96dhSDar17xbRC9FZdJNtiDM-TmY7ni0jjsDctAIAg9po7TiHiKxFb-WGlrJkOUgR02giGJ8NjFSfSuvsjVEmABoGuFT8Pk6Vc5D11c8fWPoaO6thqT4gqHj1nhZ7Z_EjQxvDqRRo=w122-h92-k-no,-7.3678856,112.7631802
Hotel Santika Premiere Gubeng,"4,3",https://lh5.googleusercontent.com/p/AF1QipMMysdVS7eBiV3zG5TeJh8bvuTflF0V2XurvIAu=w122-h92-k-no,-7.2723078,112.7476966
OYO 2628 Kartini Residence,"2,6",https://lh5.googleusercontent.com/p/AF1QipOFUrv-TmivTovwtsIuI81AxclGRsVAaLTIiblp=w137-h92-k-no,-6.1640273,106.8333668
Point Hostel,"4,0",https://lh5.googleusercontent.com/p/AF1QipPQtR1Icu8uPupTknv2e3xkWFWzx3PG2bMDxi9w=w137-h92-k-no,-6.1703521,106.8058639
OYO 3785 Kemayoran Residence,"2,4",https://lh5.googleusercontent.com/p/AF1QipOHfAwZ25bnG5o_iQeivGIFVlALwEktP4a6y-iN=w137-h92-k-no,-6.165512,106.8453914
Hotel Senen Indah Syariah,"4,2",https://lh5.googleusercontent.com/p/AF1QipO769kt7OsvnfB3zR08tkMyIUz1dDq6yOGX8Mny=w163-h92-k-no,-6.1733625,106.8448253
Sun Rise House,"4,2",https://lh3.googleusercontent.com/gps-proxy/AMy85WLATPwUhZJU0rkNb2iEo3LGFS1LcGFY57bkXAK2vyKCByRe3sbYXIMiTVD7xqnwAzftoaKoQHPqYMwB5wi4pCnLtOLv4869xCJQ04pKcbA84EtP_gi_bmVRB611TsP9B2gIWml88npKp4lHZI7tiF4Xc4zfHteSwMypD0rSsJWNfuOvuXdfy05M=w138-h92-k-no,-6.2065802,106.8252502
Mayestik Guest House Syariah,"4,2",https://lh5.googleusercontent.com/p/AF1QipMHWUCQK0nHwqwcbbEBgx96fj6_Yc7_DLn5Dy6J=w163-h92-k-no,-6.2384503,106.791124
